Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.gui.help.HelpAction",784,3,1 333,17,1 121,3,17
"org.jabref.gui.help.NewVersionDialog",784,7,1 333,1,1 121,6,1
"org.jabref.gui.help.SearchForUpdateAction",784,6,1 333,1,1 121,6,1
"org.jabref.gui.help.VersionWorker",784,6,1 333,2,1 121,5,2
"org.jabref.gui.icon.IconTheme",1,2,3,77,1 143,1,38
"org.jabref.gui.icon.IconTheme.JabRefIcons",0,3,5,73,1 141,1,38
"org.jabref.gui.icon.InternalMaterialDesignIcon",1,3,3,2,1 143,2,1
"org.jabref.gui.icon.JabRefIconView",0,2,6,1,1 122,1,1
"org.jabref.gui.icon.JabRefIkonHandler",0,1,1,0,0,1,0
"org.jabref.gui.icon.JabRefMaterialDesignIcon",0,0,0,3,1 144,0,1
"org.jabref.gui.icon.JabrefIconProvider",0,1,1,1,1 122,1,1
"org.jabref.gui.importer.GenerateEntryFromIdAction",784,18,1 333,1,1 121,12,1
"org.jabref.gui.importer.GenerateEntryFromIdDialog",784,9,1 333,1,1 121,6,1
"org.jabref.gui.importer.GrobidOptInDialogHelper",784,3,1 333,4,1 121,3,4
"org.jabref.gui.importer.ImportAction",784,24,1 333,2,1 121,12,1
"org.jabref.gui.importer.ImportCommand",784,15,1 333,1,1 121,7,1
"org.jabref.gui.importer.ImportCustomEntryTypesDialog",784,7,1 333,1,1 121,7,1
"org.jabref.gui.importer.ImportCustomEntryTypesDialogViewModel",784,6,1 333,1,1 121,5,1
"org.jabref.gui.importer.ImportEntriesDialog",784,24,1 333,4,1 121,12,4
"org.jabref.gui.importer.ImportEntriesViewModel",784,27,1 333,1,1 121,14,1
"org.jabref.gui.importer.ImporterViewModel",784,1,1 333,2,1 121,1,1
"org.jabref.gui.importer.NewDatabaseAction",784,5,1 333,1,1 121,4,1
"org.jabref.gui.importer.NewEntryAction",784,11,1 333,4,1 121,5,2
"org.jabref.gui.importer.ParserResultWarningDialog",784,4,1 333,1,1 121,3,1
"org.jabref.gui.importer.actions.CheckForNewEntryTypesAction",784,12,1 333,1,1 121,8,1
"org.jabref.gui.importer.actions.MergeReviewIntoCommentAction",784,7,1 333,1,1 121,5,1
"org.jabref.gui.importer.actions.MergeReviewIntoCommentConfirmationDialog",784,3,1 333,1,1 121,3,1
"org.jabref.gui.importer.actions.OpenDatabaseAction",784,24,1 333,5,1 121,13,3
"org.jabref.gui.importer.fetcher.LookupIdentifierAction",784,20,1 333,1,1 121,11,1
"org.jabref.gui.importer.fetcher.WebSearchPane",784,19,1 333,1,1 121,11,1
"org.jabref.gui.importer.fetcher.WebSearchPaneViewModel",784,14,1 333,2,1 121,8,1
"org.jabref.gui.integrity.IntegrityCheckAction",784,16,1 333,1,1 121,10,1
"org.jabref.gui.integrity.IntegrityCheckDialog",784,7,1 333,1,1 121,7,1
"org.jabref.gui.integrity.IntegrityCheckDialogViewModel",784,2,1 333,1,1 121,2,1
"org.jabref.gui.journals.AbbreviateAction",784,20,1 333,1,1 121,9,1
"org.jabref.gui.journals.AbbreviationType",0,0,0,2,1 122,0,1
"org.jabref.gui.journals.UndoableAbbreviator",784,7,1 333,1,1 121,6,1
"org.jabref.gui.journals.UndoableUnabbreviator",784,6,1 333,1,1 121,5,1
"org.jabref.gui.keyboard.CodeAreaKeyBindings",0,4,22,1,1 122,3,1
"org.jabref.gui.keyboard.KeyBinding",0,2,8,25,1 135,2,14
"org.jabref.gui.keyboard.KeyBindingCategory",0,2,7,4,1 136,2,2
"org.jabref.gui.keyboard.KeyBindingRepository",0,2,10,27,1 124,2,14
"org.jabref.gui.keyboard.TextInputKeyBindings",784,5,1 333,1,1 121,4,1
"org.jabref.gui.libraryproperties.LibraryPropertiesAction",784,6,1 333,1,1 121,3,1
"org.jabref.gui.libraryproperties.LibraryPropertiesDialogView",784,10,1 333,1,1 121,7,1
"org.jabref.gui.libraryproperties.LibraryPropertiesDialogViewModel",784,19,1 333,1,1 121,10,1
"org.jabref.gui.linkedfile.AttachFileAction",784,18,1 333,1,1 121,12,1
"org.jabref.gui.linkedfile.LinkedFileEditDialogView",784,8,1 333,2,1 121,6,2
"org.jabref.gui.linkedfile.LinkedFilesEditDialogViewModel",784,12,1 333,1,1 121,8,1
"org.jabref.gui.logging.ApplicationInsightsAppender",1,3,1 336,1,1,2,1
"org.jabref.gui.logging.ApplicationInsightsAppender.Builder",1,1,1 336,1,1,1,1
"org.jabref.gui.logging.ApplicationInsightsLogEvent",0,0,0,1,2,0,1
"org.jabref.gui.logging.GuiAppender",1,3,1 335,1,1,3,1
"org.jabref.gui.logging.GuiAppender.Builder",1,1,1 335,1,1,1,1
"org.jabref.gui.maintable.BibEntryTableViewModel",784,15,1 333,14,1 121,9,4
"org.jabref.gui.maintable.CellFactory",784,11,1 333,2,1 121,5,2
"org.jabref.gui.maintable.ColumnPreferences",784,1,1 333,13,1 121,1,6
"org.jabref.gui.maintable.MainTable",784,38,1 333,4,1 121,16,4
"org.jabref.gui.maintable.MainTableColumnFactory",784,26,1 333,5,1 121,14,3
"org.jabref.gui.maintable.MainTableColumnModel",784,5,1 333,16,1 121,3,6
"org.jabref.gui.maintable.MainTableColumnModel.Type",784,2,1 333,5,1 121,2,3
"org.jabref.gui.maintable.MainTableDataModel",784,15,1 333,3,1 121,11,3
"org.jabref.gui.maintable.MainTableFieldValueFormatter",784,11,1 333,3,1 121,5,2
"org.jabref.gui.maintable.MainTableNameFormatPreferences",0,2,2,4,1 122,1,3
"org.jabref.gui.maintable.MainTableNameFormatPreferences.AbbreviationStyle",0,0,0,4,1 123,0,3
"org.jabref.gui.maintable.MainTableNameFormatPreferences.DisplayStyle",0,0,0,4,1 123,0,3
"org.jabref.gui.maintable.MainTablePreferences",784,1,1 333,5,1 121,1,4
"org.jabref.gui.maintable.OpenExternalFileAction",784,12,1 333,2,1 121,8,2
"org.jabref.gui.maintable.OpenFolderAction",784,11,1 333,2,1 121,7,2
"org.jabref.gui.maintable.OpenUrlAction",784,12,1 333,2,1 121,9,2
"org.jabref.gui.maintable.PersistenceVisualStateTable",784,6,1 333,1,1 121,3,1
"org.jabref.gui.maintable.RightClickMenu",784,30,1 333,1,1 121,15,1
"org.jabref.gui.maintable.SearchShortScienceAction",784,11,1 333,1,1 121,9,1
"org.jabref.gui.maintable.SmartConstrainedResizePolicy",0,0,0,2,1 122,0,2
"org.jabref.gui.maintable.columns.FieldColumn",784,9,1 333,1,1 121,5,1
"org.jabref.gui.maintable.columns.FileColumn",784,18,1 333,1,1 121,11,1
"org.jabref.gui.maintable.columns.LinkedIdentifierColumn",784,19,1 333,1,1 121,10,1
"org.jabref.gui.maintable.columns.MainTableColumn",784,3,1 333,8,1 121,2,3
"org.jabref.gui.maintable.columns.SpecialFieldColumn",784,18,1 333,2,1 121,9,2
"org.jabref.gui.menus.ChangeEntryTypeMenu",784,16,1 333,2,1 121,8,2
"org.jabref.gui.menus.FileHistoryMenu",784,5,1 333,3,1 121,5,3
"org.jabref.gui.mergeentries.DiffHighlighting",0,0,0,3,1 124,0,1
"org.jabref.gui.mergeentries.DiffHighlightingEllipsingTextFlow",0,2,8,2,1 122,1,1
"org.jabref.gui.mergeentries.FetchAndMergeEntry",784,24,1 333,3,1 121,11,3
"org.jabref.gui.mergeentries.MergeEntries",784,13,1 333,5,1 121,10,4
"org.jabref.gui.mergeentries.MergeEntries.DefaultRadioButtonSelectionMode",0,0,0,2,1 122,0,2
"org.jabref.gui.mergeentries.MergeEntries.DiffMode",0,1,6,4,1 123,1,2
"org.jabref.gui.mergeentries.MergeEntriesAction",784,18,1 333,2,1 121,9,2
"org.jabref.gui.mergeentries.MergeEntriesDialog",784,4,1 333,3,1 121,4,2
"org.jabref.gui.mergeentries.MergeWithFetchedEntryAction",784,11,1 333,1,1 121,6,1
"org.jabref.gui.mergeentries.MultiMergeEntriesView",784,16,1 333,3,1 121,7,2
"org.jabref.gui.mergeentries.MultiMergeEntriesView.Cell",784,13,1 333,1,1 121,8,1
"org.jabref.gui.mergeentries.MultiMergeEntriesView.FieldRow",784,6,1 333,2,1 121,4,1
"org.jabref.gui.mergeentries.MultiMergeEntriesViewModel",784,4,1 333,3,1 121,4,1
"org.jabref.gui.mergeentries.MultiMergeEntriesViewModel.EntrySource",784,3,1 333,2,1 121,2,1
"org.jabref.gui.metadata.BibtexStringEditorAction",784,6,1 333,1,1 121,4,1
"org.jabref.gui.metadata.BibtexStringEditorDialogView",784,10,1 333,1,1 121,6,1
"org.jabref.gui.metadata.BibtexStringEditorDialogViewModel",784,7,1 333,1,1 121,7,1
"org.jabref.gui.metadata.BibtexStringEditorItemModel",0,1,6,2,1 122,1,1
"org.jabref.gui.metadata.PreambleEditor",784,8,1 333,1,1 121,5,1
"org.jabref.gui.openoffice.AdvancedCiteDialogView",784,3,1 333,1,1 121,3,1
"org.jabref.gui.openoffice.AdvancedCiteDialogViewModel",0,0,0,2,1 122,0,1
"org.jabref.gui.openoffice.BibEntryNotFoundException",0,0,0,2,1 122,0,1
"org.jabref.gui.openoffice.Bootstrap",0,1,1,1,1 122,0,1
"org.jabref.gui.openoffice.CitationEntryViewModel",0,1,1,2,1 122,1,1
"org.jabref.gui.openoffice.ConnectionLostException",0,0,0,2,1 122,0,1
"org.jabref.gui.openoffice.DetectOpenOfficeInstallation",784,11,1 333,1,1 121,10,1
"org.jabref.gui.openoffice.ManageCitationsDialogView",784,8,1 333,1,1 121,5,1
"org.jabref.gui.openoffice.ManageCitationsDialogViewModel",784,5,1 333,1,1 121,4,1
"org.jabref.gui.openoffice.OOBibBase",784,22,1 333,4,1 121,11,1
"org.jabref.gui.openoffice.OOBibBase.ComparableMark",0,0,0,1,1 122,0,1
"org.jabref.gui.openoffice.OOBibBase.DocumentTitleViewModel",784,1,1 333,1,1 121,1,1
"org.jabref.gui.openoffice.OpenOfficePanel",784,42,1 333,1,1 121,18,1
"org.jabref.gui.openoffice.OpenOfficeSidePanel",784,14,1 333,1,1 121,8,1
"org.jabref.gui.openoffice.StyleSelectDialogView",784,18,1 333,1,1 121,12,1
"org.jabref.gui.openoffice.StyleSelectDialogViewModel",784,14,1 333,1,1 121,11,1
"org.jabref.gui.openoffice.StyleSelectItemViewModel",784,3,1 333,2,1 121,2,1
"org.jabref.gui.openoffice.UndefinedCharacterFormatException",0,0,0,2,1 122,0,1
"org.jabref.gui.preferences.AbstractPreferenceTabView",784,5,1 333,22,1 121,4,21
"org.jabref.gui.preferences.PreferencesDialogView",784,15,1 333,1,1 121,6,1
"org.jabref.gui.preferences.PreferencesDialogViewModel",784,46,1 333,1,1 121,33,1
"org.jabref.gui.preferences.PreferencesFilterDialog",784,5,1 333,1,1 121,3,1
"org.jabref.gui.preferences.PreferencesSearchHandler",0,1,1,1,1 122,1,1
"org.jabref.gui.preferences.ShowPreferencesAction",784,5,1 333,1,1 121,4,1
"org.jabref.gui.preferences.appearance.AppearanceTab",784,5,1 333,1,1 121,4,1
"org.jabref.gui.preferences.appearance.AppearanceTabViewModel",784,11,1 333,1,1 121,7,1
"org.jabref.gui.preferences.citationkeypattern.CitationKeyPatternTab",784,13,1 333,1,1 121,10,1
"org.jabref.gui.preferences.citationkeypattern.CitationKeyPatternTabViewModel",784,10,1 333,1,1 121,6,1
"org.jabref.gui.preferences.customexporter.CustomExporterTab",784,6,1 333,1,1 121,5,1
"org.jabref.gui.preferences.customexporter.CustomExporterTabViewModel",784,7,1 333,1,1 121,6,1
"org.jabref.gui.preferences.customimporter.CustomImporterTab",784,7,1 333,1,1 121,6,1
"org.jabref.gui.preferences.customimporter.CustomImporterTabViewModel",784,12,1 333,1,1 121,10,1
"org.jabref.gui.preferences.entryeditor.EntryEditorTab",784,4,1 333,1,1 121,3,1
"org.jabref.gui.preferences.entryeditor.EntryEditorTabViewModel",784,8,1 333,1,1 121,6,1
"org.jabref.gui.preferences.entryeditortabs.CustomEditorFieldsTab",784,9,1 333,1,1 121,7,1
"org.jabref.gui.preferences.entryeditortabs.CustomEditorFieldsTabViewModel",784,9,1 333,1,1 121,7,1
"org.jabref.gui.preferences.external.ExternalTab",784,8,1 333,1,1 121,5,1
"org.jabref.gui.preferences.external.ExternalTabViewModel",784,14,1 333,1,1 121,8,1
"org.jabref.gui.preferences.file.FileTab",784,9,1 333,1,1 121,7,1
"org.jabref.gui.preferences.file.FileTabViewModel",784,3,1 333,1,1 121,2,1
"org.jabref.gui.preferences.general.GeneralTab",784,14,1 333,1,1 121,10,1
"org.jabref.gui.preferences.general.GeneralTabViewModel",784,11,1 333,1,1 121,6,1
"org.jabref.gui.preferences.groups.GroupsTab",784,4,1 333,1,1 121,3,1
"org.jabref.gui.preferences.groups.GroupsTabViewModel",784,5,1 333,1,1 121,4,1
"org.jabref.gui.preferences.importexport.ImportExportTab",784,6,1 333,1,1 121,5,1
"org.jabref.gui.preferences.importexport.ImportExportTabViewModel",784,9,1 333,1,1 121,7,1
"org.jabref.gui.preferences.journals.AbbreviationViewModel",0,1,1,5,1 124,1,1
"org.jabref.gui.preferences.journals.AbbreviationsFileViewModel",0,4,8,3,1 122,2,1
"org.jabref.gui.preferences.journals.JournalAbbreviationsTab",784,12,1 333,1,1 121,6,1
"org.jabref.gui.preferences.journals.JournalAbbreviationsTabViewModel",784,16,1 333,2,1 121,8,1
"org.jabref.gui.preferences.keybindings.KeyBindingViewModel",0,6,17,4,1 122,2,2
"org.jabref.gui.preferences.keybindings.KeyBindingsTab",784,10,1 333,1,1 121,7,1
"org.jabref.gui.preferences.keybindings.KeyBindingsTabViewModel",784,12,1 333,3,1 121,8,2
"org.jabref.gui.preferences.keybindings.presets.BashKeyBindingPreset",0,2,10,1,1 122,2,1
"org.jabref.gui.preferences.keybindings.presets.NewEntryBindingPreset",0,3,10,1,1 122,3,1
"org.jabref.gui.preferences.linkedfiles.LinkedFilesTab",784,10,1 333,1,1 121,8,1
"org.jabref.gui.preferences.linkedfiles.LinkedFilesTabViewModel",784,9,1 333,1,1 121,6,1
"org.jabref.gui.preferences.nameformatter.NameFormatterItemModel",0,1,14,2,1 122,1,1
"org.jabref.gui.preferences.nameformatter.NameFormatterTab",784,13,1 333,1,1 121,9,1
"org.jabref.gui.preferences.nameformatter.NameFormatterTabViewModel",784,6,1 333,1,1 121,6,1
"org.jabref.gui.preferences.network.NetworkTab",784,14,1 333,1,1 121,10,1
"org.jabref.gui.preferences.network.NetworkTabViewModel",784,13,1 333,1,1 121,9,1
"org.jabref.gui.preferences.preview.PreviewTab",784,18,1 333,2,1 121,12,2
"org.jabref.gui.preferences.preview.PreviewTab.EditAction",784,3,1 333,1,1 121,2,1
"org.jabref.gui.preferences.preview.PreviewTabViewModel",784,19,1 333,1,1 121,8,1
"org.jabref.gui.preferences.protectedterms.NewProtectedTermsFileDialog",784,9,1 333,1,1 121,7,1
"org.jabref.gui.preferences.protectedterms.ProtectedTermsListItemModel",0,1,2,4,1 122,1,1
"org.jabref.gui.preferences.protectedterms.ProtectedTermsTab",784,16,1 333,1,1 121,8,1
"org.jabref.gui.preferences.protectedterms.ProtectedTermsTab.ContextAction",784,7,1 333,1,1 121,5,1
"org.jabref.gui.preferences.protectedterms.ProtectedTermsTabViewModel",784,17,1 333,2,1 121,12,1
"org.jabref.gui.preferences.table.TableTab",784,15,1 333,1,1 121,10,1
"org.jabref.gui.preferences.table.TableTabViewModel",784,19,1 333,1,1 121,9,1
"org.jabref.gui.preferences.xmp.XmpPrivacyTab",784,12,1 333,1,1 121,6,1
"org.jabref.gui.preferences.xmp.XmpPrivacyTabViewModel",784,7,1 333,1,1 121,6,1
"org.jabref.gui.preview.CopyCitationAction",784,20,1 333,3,1 121,11,3
"org.jabref.gui.preview.PreviewPanel",784,16,1 333,2,1 121,11,1
"org.jabref.gui.preview.PreviewViewer",784,13,1 333,6,1 121,8,5
"org.jabref.gui.push.AbstractPushToApplication",784,11,1 333,7,1 121,7,1
"org.jabref.gui.push.PushToApplicationAction",784,15,1 333,2,1 121,10,2
"org.jabref.gui.push.PushToApplicationSettings",784,10,1 333,9,1 121,6,2
"org.jabref.gui.push.PushToApplicationsManager",784,14,1 333,4,1 121,4,3
"org.jabref.gui.push.PushToEmacs",784,17,1 333,3,1 121,9,3
"org.jabref.gui.push.PushToEmacsSettings",784,6,1 333,1,1 121,4,1
"org.jabref.gui.push.PushToLyx",784,15,1 333,1,1 121,8,1
"org.jabref.gui.push.PushToLyxSettings",784,6,1 333,1,1 121,4,1
"org.jabref.gui.push.PushToTeXstudio",784,8,1 333,1,1 121,5,1
"org.jabref.gui.push.PushToTexmaker",784,7,1 333,1,1 121,4,1
"org.jabref.gui.push.PushToVim",784,15,1 333,1,1 121,8,1
"org.jabref.gui.push.PushToVimSettings",784,6,1 333,1,1 121,4,1
"org.jabref.gui.push.PushToWinEdt",784,8,1 333,1,1 121,5,1
"org.jabref.gui.remote.JabRefMessageHandler",784,7,1 333,2,1 121,5,2
"org.jabref.gui.search.GlobalSearchBar",784,36,1 333,4,1 121,16,2
"org.jabref.gui.search.GlobalSearchBar.SearchPopupSkin",0,0,0,1,1 122,0,1
"org.jabref.gui.search.GlobalSearchResultDialog",784,17,1 333,1,1 121,11,1
"org.jabref.gui.search.GlobalSearchResultDialogViewModel",784,3,1 333,1,1 121,2,1
"org.jabref.gui.search.RebuildFulltextSearchIndexAction",784,13,1 333,1,1 121,8,1
"org.jabref.gui.search.SearchDisplayMode",0,1,6,2,1 123,1,1
"org.jabref.gui.search.SearchResultsTable",784,15,1 333,1,1 121,7,1
"org.jabref.gui.search.SearchResultsTableDataModel",784,8,1 333,2,1 121,6,1
"org.jabref.gui.search.SearchTextField",0,3,12,2,1 122,2,2
"org.jabref.gui.search.rules.describer.ContainsAndRegexBasedSearchRuleDescriber",784,8,1 333,3,1 121,4,2
"org.jabref.gui.search.rules.describer.GrammarBasedSearchRuleDescriber",784,7,1 333,3,1 121,4,2
"org.jabref.gui.search.rules.describer.GrammarBasedSearchRuleDescriber.DescriptionSearchBaseVisitor",784,11,1 333,1,1 121,5,1
"org.jabref.gui.search.rules.describer.SearchDescribers",784,7,1 333,1,1 121,3,1
"org.jabref.gui.shared.ConnectToSharedDatabaseCommand",784,4,1 333,1,1 121,3,1
"org.jabref.gui.shared.PullChangesFromSharedAction",784,5,1 333,1,1 121,4,1
"org.jabref.gui.shared.SharedDatabaseLoginDialogView",784,8,1 333,2,1 121,5,1
"org.jabref.gui.shared.SharedDatabaseLoginDialogViewModel",784,24,1 333,1,1 121,13,1
"org.jabref.gui.shared.SharedDatabaseUIManager",784,29,1 333,3,1 121,14,3
"org.jabref.gui.sidepane.SidePane",784,11,1 333,6,1 121,7,5
"org.jabref.gui.sidepane.SidePane.PreferredIndexSort",784,4,1 333,1,1 121,2,1
"org.jabref.gui.sidepane.SidePaneComponent",784,8,1 333,7,1 121,4,5
"org.jabref.gui.sidepane.SidePaneComponent.ToggleCommand",784,3,1 333,1,1 121,2,1
"org.jabref.gui.sidepane.SidePaneType",0,0,0,9,1 123,0,6
"org.jabref.gui.slr.ExistingStudySearchAction",784,20,1 333,2,1 121,14,2
"org.jabref.gui.slr.ManageStudyDefinitionView",784,14,1 333,1,1 121,7,1
"org.jabref.gui.slr.ManageStudyDefinitionViewModel",784,8,1 333,1,1 121,3,1
"org.jabref.gui.slr.SlrStudyAndDirectory",0,1,3,3,1 122,1,1
"org.jabref.gui.slr.StartNewStudyAction",784,11,1 333,1,1 121,7,1
"org.jabref.gui.slr.StudyDatabaseItem",0,0,0,2,1 122,0,1
"org.jabref.gui.specialfields.SpecialFieldAction",784,17,1 333,1,1 121,10,1
"org.jabref.gui.specialfields.SpecialFieldDatabaseChangeListener",784,1,1 333,1,1 121,1,1
"org.jabref.gui.specialfields.SpecialFieldMenuItemFactory",784,9,1 333,2,1 121,5,2
"org.jabref.gui.specialfields.SpecialFieldValueViewModel",0,5,21,9,1 126,4,4
"org.jabref.gui.specialfields.SpecialFieldViewModel",784,15,1 333,5,1 121,10,4
"org.jabref.gui.specialfields.SpecialFieldsPreferences",0,0,0,6,1 122,0,5
"org.jabref.gui.texparser.CitationsDisplay",0,5,17,2,1 122,4,2
"org.jabref.gui.texparser.ParseLatexAction",784,6,1 333,1,1 121,4,1
"org.jabref.gui.texparser.ParseLatexDialogView",784,13,1 333,1,1 121,7,1
"org.jabref.gui.texparser.ParseLatexDialogViewModel",784,17,1 333,1,1 121,11,1
"org.jabref.gui.texparser.ParseLatexResultView",784,9,1 333,1,1 121,5,1
"org.jabref.gui.texparser.ParseLatexResultViewModel",784,11,1 333,1,1 121,9,1
"org.jabref.gui.texparser.ReferenceViewModel",0,1,1,2,1 122,1,1
"org.jabref.gui.undo.AbstractUndoableJabRefEdit",0,1,6,12,1 123,1,2
"org.jabref.gui.undo.CountingUndoManager",0,3,9,21,1 122,2,15
"org.jabref.gui.undo.NamedCompound",0,1,6,31,1 122,1,16
"org.jabref.gui.undo.UndoRedoAction",784,9,1 333,1,1 121,4,1
"org.jabref.gui.undo.UndoableChangeType",784,7,1 333,3,1 121,6,3
"org.jabref.gui.undo.UndoableFieldChange",784,6,1 333,16,1 121,6,12
"org.jabref.gui.undo.UndoableInsertEntries",784,5,1 333,6,1 121,5,5
"org.jabref.gui.undo.UndoableInsertString",784,6,1 333,1,1 121,5,1
"org.jabref.gui.undo.UndoableKeyChange",784,5,1 333,3,1 121,5,2
"org.jabref.gui.undo.UndoablePreambleChange",784,3,1 333,2,1 121,3,2
"org.jabref.gui.undo.UndoableRemoveEntries",784,6,1 333,5,1 121,6,5
"org.jabref.gui.undo.UndoableRemoveString",784,6,1 333,1,1 121,5,1
"org.jabref.gui.undo.UndoableStringChange",0,4,12,2,1 122,4,1
"org.jabref.gui.util.BackgroundTask",784,5,1 333,51,1 121,3,29
"org.jabref.gui.util.BackgroundTask.BackgroundProgress",0,0,0,2,1 122,0,1
"org.jabref.gui.util.BaseDialog",784,7,1 333,44,1 121,5,32
"org.jabref.gui.util.BindingsHelper",0,4,4,25,1 126,1,18
"org.jabref.gui.util.BindingsHelper.BidirectionalBinding",0,0,0,1,1 127,0,1
"org.jabref.gui.util.BindingsHelper.BidirectionalListBinding",0,0,0,1,1 127,0,1
"org.jabref.gui.util.BindingsHelper.BidirectionalMapBinding",0,0,0,1,1 127,0,1
"org.jabref.gui.util.ColorUtil",0,0,0,3,1 145,0,3
"org.jabref.gui.util.ControlHelper",0,2,2,15,1 122,1,13
"org.jabref.gui.util.ControlHelper.EllipsisPosition",0,0,0,3,1 123,0,3
"org.jabref.gui.util.CurrentThreadTaskExecutor",0,4,1 335,6,6,2,4
"org.jabref.gui.util.CurrentThreadTaskExecutor.FailedFuture",0,0,0,1,7,0,1
"org.jabref.gui.util.CustomLocalDragboard",784,3,1 333,9,1 121,3,5
"org.jabref.gui.util.CustomTitledPaneSkin",1,2,2,1,1,1,1
"org.jabref.gui.util.CustomTitledPaneSkin.ArrowSide",0,0,0,2,2,0,1
"org.jabref.gui.util.CustomTitledPaneSkin.StyleableProperties",1,2,2,1,1,1,1
"org.jabref.gui.util.DefaultFileUpdateMonitor",0,4,4,3,1 122,2,3
"org.jabref.gui.util.DefaultTaskExecutor",784,6,1 333,23,1 121,3,17
"org.jabref.gui.util.DialogWindowState",0,0,0,2,1 122,0,2
"org.jabref.gui.util.DirectoryDialogConfiguration",0,0,0,14,1 123,0,10
"org.jabref.gui.util.DirectoryDialogConfiguration.Builder",0,1,1,11,1 122,1,8
"org.jabref.gui.util.DroppingMouseLocation",0,0,0,4,1 123,0,3
"org.jabref.gui.util.FieldsUtil",784,9,1 333,4,1 121,4,3
"org.jabref.gui.util.FileDialogConfiguration",0,0,0,27,1 122,0,20
"org.jabref.gui.util.FileDialogConfiguration.Builder",784,3,1 333,23,1 121,2,19
"org.jabref.gui.util.FileFilterConverter",784,6,1 333,5,1 121,6,5
"org.jabref.gui.util.FileNodeViewModel",0,1,6,5,1 122,1,2
"org.jabref.gui.util.IconValidationDecorator",0,2,6,17,1 122,1,16
"org.jabref.gui.util.JabRefResourceLocator",0,1,6,0,0,1,0
"org.jabref.gui.util.NoSelectionModel",0,0,0,4,1 122,0,4
"org.jabref.gui.util.OnlyIntegerFormatter",0,1,1,1,1 122,1,1
"org.jabref.gui.util.OnlyIntegerFormatter.IntegerFilter",0,0,0,1,1 123,0,1
"org.jabref.gui.util.OpenHyperlinksInExternalBrowser",0,1,1 334,0,0,1,0
"org.jabref.gui.util.OptionalObjectProperty",0,0,0,6,1 122,0,6
"org.jabref.gui.util.OptionalValueTableCellFactory",0,1,4,1,1 122,1,1
"org.jabref.gui.util.RadioButtonCell",0,0,0,1,1 122,0,1
"org.jabref.gui.util.RecursiveTreeItem",0,0,0,5,1 123,0,5
"org.jabref.gui.util.StreamGobbler",0,0,0,1,1 122,0,1
"org.jabref.gui.util.TextFlowLimited",0,1,6,1,1 122,1,1
"org.jabref.gui.util.Theme",784,10,1 333,10,1 121,5,6
"org.jabref.gui.util.Theme.Type",0,0,0,3,1 122,0,2
"org.jabref.gui.util.TooltipTextUtil",0,3,3,8,1 123,1,4
"org.jabref.gui.util.TooltipTextUtil.TextReplacement",0,1,1,4,1 124,1,2
"org.jabref.gui.util.TooltipTextUtil.TextType",0,0,0,8,1 125,0,3
"org.jabref.gui.util.UiThreadList",0,0,0,1,1 127,0,1
"org.jabref.gui.util.ValueTableCellFactory",0,1,3,23,1 123,1,18
"org.jabref.gui.util.ViewModelListCellFactory",0,3,9,25,1 123,3,20
"org.jabref.gui.util.ViewModelTableRowFactory",0,1,3,5,1 122,1,5
"org.jabref.gui.util.ViewModelTextFieldTableCellVisualizationFactory",0,1,5,1,1 122,1,1
"org.jabref.gui.util.ViewModelTreeCellFactory",0,1,1,2,1 122,1,2
"org.jabref.gui.util.ViewModelTreeTableCellFactory",0,2,4,2,1 122,2,2
"org.jabref.gui.util.ZipFileChooser",784,2,1 333,1,1 121,2,1
"org.jabref.gui.util.comparator.NumericFieldComparator",0,1,3,2,1 123,1,2
"org.jabref.gui.util.comparator.RankingFieldComparator",0,1,22,2,1 123,1,2
"org.jabref.gui.util.comparator.SpecialFieldComparator",0,1,22,2,1 123,1,2
"org.jabref.gui.util.component.DiffHighlightingTextPane",0,0,0,1,1 122,0,1
"org.jabref.gui.util.component.Tag",0,0,0,1,1,0,1
"org.jabref.gui.util.component.TagBar",0,3,5,0,0,3,0
"org.jabref.gui.util.component.TemporalAccessorPicker",784,5,1 333,2,1 121,5,2
"org.jabref.gui.util.component.TemporalAccessorPicker.InternalConverter",784,1,1 333,1,1 121,1,1
"org.jabref.gui.util.uithreadaware.UiThreadBinding",0,2,3,1,1 122,1,1
"org.jabref.gui.util.uithreadaware.UiThreadChangeListener",0,1,1,2,1 124,1,1
"org.jabref.gui.util.uithreadaware.UiThreadHelper",0,0,0,3,1 128,0,1
"org.jabref.gui.util.uithreadaware.UiThreadInvalidationListener",0,1,1,3,1 125,1,1
"org.jabref.gui.util.uithreadaware.UiThreadListChangeListener",0,1,1,1,1 123,1,1
"org.jabref.gui.util.uithreadaware.UiThreadObservableList",0,2,3,1,1 122,1,1
"org.jabref.gui.util.uithreadaware.UiThreadStringProperty",0,2,3,1,1 122,1,1
"org.jabref.logic.JabRefException",0,0,0,13,1 127,0,10
"org.jabref.logic.TypedBibEntry",784,7,1 333,4,1 121,3,4
"org.jabref.logic.WatchServiceUnavailableException",0,1,1,1,1 123,1,1
"org.jabref.logic.autosaveandbackup.AutosaveManager",784,5,1 333,3,1 121,3,2
"org.jabref.logic.autosaveandbackup.BackupManager",784,16,1 333,7,1 121,9,5
