Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.gui.citationkeypattern.CitationKeyPatternAction",784,6,1 333,1,1 121,3,1
"org.jabref.gui.citationkeypattern.CitationKeyPatternDialog",784,9,1 333,1,1 121,8,1
"org.jabref.gui.citationkeypattern.CitationKeyPatternPanel",784,14,1 333,1,1 121,10,1
"org.jabref.gui.citationkeypattern.GenerateCitationKeyAction",784,19,1 333,2,1 121,10,2
"org.jabref.gui.citationkeypattern.GenerateCitationKeySingleAction",784,10,1 333,2,1 121,9,2
"org.jabref.gui.cleanup.CleanupAction",784,20,1 333,1,1 121,12,1
"org.jabref.gui.cleanup.CleanupDialog",784,6,1 333,1,1 121,6,1
"org.jabref.gui.cleanup.CleanupPresetPanel",784,8,1 333,1,1 121,6,1
"org.jabref.gui.collab.ChangeDisplayDialog",784,6,1 333,1,1 121,5,1
"org.jabref.gui.collab.ChangeScanner",784,26,1 333,1,1 121,8,1
"org.jabref.gui.collab.DatabaseChangeMonitor",784,10,1 333,2,1 121,6,2
"org.jabref.gui.collab.DatabaseChangePane",784,8,1 333,1,1 121,5,1
"org.jabref.gui.collab.DatabaseChangeViewModel",784,2,1 333,15,1 121,2,1
"org.jabref.gui.collab.EntryAddChangeViewModel",784,13,1 333,1,1 121,8,1
"org.jabref.gui.collab.EntryChangeViewModel",784,9,1 333,2,1 121,6,1
"org.jabref.gui.collab.EntryDeleteChangeViewModel",784,11,1 333,1,1 121,7,1
"org.jabref.gui.collab.GroupChangeViewModel",784,11,1 333,1,1 121,10,1
"org.jabref.gui.collab.MetaDataChangeViewModel",784,6,1 333,1,1 121,6,1
"org.jabref.gui.collab.PreambleChangeViewModel",784,8,1 333,1,1 121,6,1
"org.jabref.gui.collab.StringAddChangeViewModel",784,8,1 333,1,1 121,5,1
"org.jabref.gui.collab.StringChangeViewModel",784,6,1 333,1,1 121,5,1
"org.jabref.gui.collab.StringNameChangeViewModel",784,7,1 333,1,1 121,5,1
"org.jabref.gui.collab.StringRemoveChangeViewModel",784,7,1 333,1,1 121,5,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel",784,11,1 333,1,1 121,8,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.HighlightTableRow",784,3,1 333,1,1 121,2,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel",0,1,1,4,1 122,1,2
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel",784,6,1 333,3,1 121,5,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.DefaultEntryType",784,3,1 333,2,1 121,3,2
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel",784,11,1 333,2,1 121,6,2
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel",784,10,1 333,1,1 121,5,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel",784,9,1 333,2,1 121,5,2
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel",0,3,7,2,1 123,3,1
"org.jabref.gui.commonfxcontrols.SortCriterionViewModel",0,2,6,5,1 124,2,3
"org.jabref.gui.contentselector.ContentSelectorDialogView",784,8,1 333,1,1 121,5,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel",784,11,1 333,2,1 121,5,1
"org.jabref.gui.contentselector.ManageContentSelectorAction",784,7,1 333,1,1 121,3,1
"org.jabref.gui.copyfiles.CopyFilesAction",784,17,1 333,2,1 121,8,2
"org.jabref.gui.copyfiles.CopyFilesDialogView",784,9,1 333,1,1 121,4,1
"org.jabref.gui.copyfiles.CopyFilesDialogViewModel",0,3,9,1,1 122,2,1
"org.jabref.gui.copyfiles.CopyFilesResultItemViewModel",0,3,6,5,1 124,1,1
"org.jabref.gui.copyfiles.CopyFilesResultListDependency",0,1,7,3,1 123,1,1
"org.jabref.gui.copyfiles.CopyFilesTask",784,10,1 333,1,1 121,8,1
"org.jabref.gui.copyfiles.CopySingleFileAction",784,10,1 333,1,1 121,9,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel",784,16,1 333,1,1 121,7,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.FieldType",0,1,6,3,1 125,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeViewModel",0,2,30,2,1 122,2,1
"org.jabref.gui.customentrytypes.CustomizeEntryAction",784,7,1 333,1,1 121,5,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView",784,24,1 333,1,1 121,10,1
